userName,score,at,content
Muhamad Uji,5,2025-12-06 14:49:57,sangat baik dan cepat penanganan nya
Vidiyaramadani Ramadani,5,2025-12-06 14:45:12,terimakasih
Sukamto Mahameru,5,2025-12-06 14:39:10,sudah bisa beli token sangat membantu
Hermi Oritjes Selan,5,2025-12-06 14:38:18,"Aplikasi PLN Mobile sangat bagus, belanja token sangat murah"
Wiwin Pristiana,5,2025-12-06 14:31:34,pengisian berfungsi dengan baik
Musdalipah,5,2025-12-06 14:30:50,"Listrik di kantor pernah mendadak mati. Setelah membuat laporan pengaduan di PLN Mobile, petugas dari PLN dengan segera menghubungi saya mengenai kejadian dan meminta share lokasi. Beberapa menit kemudian petugas dari PLN datang dan segera memperbaikinya tanpa biaya apapun. Terima kasih 🙌🙌"
ina Muthmainnah,5,2025-12-06 14:20:21,memudahkan transaksi. keren. semoga harga listrik gak naik
budi liwa,5,2025-12-06 14:20:04,makin mudah digunakan
Fikri Alifatkhur,1,2025-12-06 14:14:23,begini saya melaporkan bahwa saat saya melaporkan pemadam listrik disekitar rumah saya lingkungan saya sudah 3 kali ditolak dengan alasan tidak jelass.diaplikasi PLN mobile ini.pemadam listrik dari siang sampe malam tidak ada penanganan nya heran saya
Wulan Eka,5,2025-12-06 14:11:49,pelayanan sangat baik dan cepat. sesuai dengan prosedur
Diah septiani Nurbaya,5,2025-12-06 14:11:32,terimakasih
robet rivai,5,2025-12-06 14:04:48,"Thanks PLN Mobile memberikan kemudahan dalam mengisi token, perubahan daya, pasang baru, simulasi pasang baru, pengisian mobil listrik, migrasi paskabayar, dan history pemakaian kwh"
sepri yadi,5,2025-12-06 14:03:03,mantap pokok nya.. sekarang semenjak ada pln mobile pengaduan bisa lebih cepat di tangani...👍👍👍👍👍
DORI FANALDO,5,2025-12-06 14:02:13,"Aku paling sering gunain fitur catat meternya, asli gampang banget, ga perlu kawatir lg masalah tagihan listrik tiap bulan"
Rahmi Jumiati,5,2025-12-06 13:57:12,Proses dan pelayanan PLN Meranti Selatpanjang sangat bagus dan cepat .Terimakasih 🙏
Andriy,1,2025-12-06 13:55:47,"keluhan gak ditanggapi, jadwal giliran padam tidak adil. aplikasi gak guna. gak ada manfaatnya sama sekali. sama aja min. mau di teruskan ke dirut PLN pun gak akan ada tindak lanjut. udah malam ke 4 padam. total udah lebih 60 jam padam. benar2 gak adil jadwal pemadaman bergilir nya. PLN memang gak pernah becus dalam menangani keluhan pelanggannya. kalo ada setengah bintang pun gak layak untuk di kasih rating"
Humaidi Bakrie,5,2025-12-06 13:50:52,"Di infokan oleh tetangga tentang aplikasi ini , sangat membantu . Fitur nya lumayan lengkap."
Rici Sugianto,5,2025-12-06 13:43:21,makasih pak PLN selalu mambantu
Raysani,5,2025-12-06 13:40:56,mudah banget isi token keren
Rayhana Azia,5,2025-12-06 13:38:08,gampang bayar tagihan listrik
Karina Rahmawati,5,2025-12-06 13:37:25,petugas dtg cepat dan terkonfirmasi
Dewa Perang,5,2025-12-06 13:34:35,aplikasi ini sangat membantu untuk berkomunikasi.transaksi dan melayani.terima kasih
Hermansyah Syah,5,2025-12-06 13:32:23,keren abiezzzzz...
Maria Berhandus,5,2025-12-06 13:29:55,cepat pelayanan
Htn Jibril,5,2025-12-06 13:22:27,cara cepat
Ronal Apriyandi,5,2025-12-06 13:21:17,pelayanan ya satset mantep sangat membantu terimakasih
senja23 lembayung,5,2025-12-06 13:20:56,cepat tanggap saat dibutuhkan bantuan kelistrikan
Ape,5,2025-12-06 13:20:07,Dengan adanya aplikasi mobile ini bisa mempermudah kami dalam pelaporan kendala kelistrikan di rumah kami sehingga penanggananya sangat cepat di respon dan juga fitur2 pembelian listrik mudah tersedia menunya terima kasih PLN mobile kami pelanganan setia sangat puas.
Ricky Jonatan,5,2025-12-06 13:18:09,PLN mantap petugas ramah dan cepat sigap
Ipan idr official,5,2025-12-06 13:15:52,aplikasi nya sangat membantu sekali
Andreas Coki,5,2025-12-06 13:13:45,pln sangat baik dalan proses pelanyanan
Eddy Suseno,5,2025-12-06 13:06:44,sangat mudah
Agus Muharno,5,2025-12-06 13:06:22,Saya senang dengan aplikasi ini
Altrida Bella,5,2025-12-06 13:06:04,terimakasih sangat membantu sekali
irwan aira putri,5,2025-12-06 13:01:16,pelayanan dan respon nya cepat. Terima kasih PLN dan tim perbaikan sukses dan sehat selalu. Mantab PLN
Natalia Indriyani Sianipar,5,2025-12-06 13:01:16,"pelayanan sangat cepat, petugas ramah. terima kasih"
Muh. Adrian Prama,5,2025-12-06 13:00:25,keragaman fitur pada aplikasi ini sangat membantu kami dalam masalah kelistrikan
Amy Fitria,5,2025-12-06 12:54:19,"aplikasi yang sangat membnatu, mudah bngettt. terus lah inovasi terbaik ya pln, keren kali loh.."
Ainun Adhika,5,2025-12-06 12:49:39,Sy sudah pernah menggunakan fitur home charging services dan responsnya sangat cepat
Ikrabul Watoni,5,2025-12-06 12:48:18,PLN terbain fastrespon dan memudahkan pelanggan
Arshaka Rafanza,5,2025-12-06 12:45:12,PLN mobile sangat keren dan membantu
Dwi Sigit Sutrisno,5,2025-12-06 12:41:44,Aplikasi yang sangat berguna dalam masalah kelistrikan. Apalagi dengan update terbaru semua semakin mudah dalam satu genggaman.
Queen Arra,5,2025-12-06 12:40:19,Penanganan cepat dan tanggap 👍👍👍
Yurna Liza,5,2025-12-06 12:39:36,terimakasih aplikasi pln mobile sangat akurat dan mudah di pelajari serta banyak fitur² sprti pembelian token listrik juga penangan nya sangat cepat ketika kwh bermasalah terimakasih.
kusumawati purnomo,5,2025-12-06 12:36:10,pln mobile membantu dalam pembelian token dan pembayaran rekening
Suhadi Adi,5,2025-12-06 12:36:01,Segala mslh apapun di klistrikkan makin mudah ada penanganan nya semenjak ada Aplikasi PLN Mobile
fallentin rumaikewi,5,2025-12-06 12:35:50,"fitur - fitur yang selalu di terupdate sangat bagus, semuanya menjadi mudah"
asep Yun sujana,5,2025-12-06 12:33:25,pln mobile memang sangat membantu untuk keperluan kelistrikan
Awing 69,5,2025-12-06 12:28:07,pln mobile saat ini sudah baik.mudah mudahan kedepan nya lebih baik lagi...pln mobile ok.
Ika Rafikaa,5,2025-12-06 12:27:34,"Sangat Membantu dan Praktis! memudahkan dalam beli token, bayar tagihan, sampai cek riwayat penggunaan listrik semuanya bisa dilakukan dengan cepat. Tampilan aplikasinya juga mudah dipahami👍👍"
Hafiz Hafizan,5,2025-12-06 12:26:58,"terimakasih PLN mobile., aplikasinya sangat membantu., terimakasih Jabar caang., terimakasih ULP Rajapolah., listrikku sudah menyala🙏"
Wahyu Tumitah,5,2025-12-06 12:25:43,terimakasih pln sudah membantu .hujan2 dibelain buat ganti meteran
I Made Budiarta,5,2025-12-06 12:23:51,tolong ditambah petugas lapangan agar penanganan lebih cepat dan fast reaspond
Ija Pajairi,5,2025-12-06 12:18:15,sangat bermanfaat
Ragiling s.n,5,2025-12-06 12:17:32,"sangat mudah digunakan, selalu beli pulsa listrik dari aplikasi pln mobile. Mantapp 👍👍"
Sadewa Sudirman,5,2025-12-06 12:14:57,sangat bermanfaat
Furqan Bulqini,5,2025-12-06 12:13:11,terbaik PLN
Inez Pricilla,2,2025-12-06 12:11:31,matinya 3hari idup cuma 23jam TOP perbatasan geceu Ajun Banda Aceh 💪🏻
Hari Yanto,5,2025-12-06 12:09:25,baik
Denx Dan,5,2025-12-06 12:09:21,aplikasinya sangat membantu
furkon bulkini,5,2025-12-06 12:07:39,Kinerja & Transformasi Energi untuk Indonesia lebih Maju
Afriyandi aan,5,2025-12-06 12:06:19,sangat baik respon cepat
Rolita APl,5,2025-12-06 12:01:51,PLN Mantap
Edwin Giantara06,5,2025-12-06 12:00:46,"pln mobile, enak buat transaksi pembelian token dan lebih mudah"
Rangga Yudhistira,5,2025-12-06 12:00:11,"PLN mobile, buat transaksi pembelian token lebih mudah 👌"
Latif.Pratama TE,5,2025-12-06 11:57:39,cepat respon dalam pelaporan pengaduan
Yemerson Oematan,5,2025-12-06 11:54:55,"Cara Simpel & Mudah dalam Genggaman Yang Membantu kita Pengaduan Gangguan, Pasang baru, Tambah daya dan masi banyak lagi 💡💡💡🚀🚀"
Aurellia Saphira,5,2025-12-06 11:51:37,mantap
Nisa Nizan,5,2025-12-06 11:50:48,terima kasih PLN Rajapolah telah membantu proses masalah listrik .. ULP Rajapolah oke
Zainal Ubaidillah,5,2025-12-06 11:42:57,petugas ramah dan pelayanan cepat
Dhecaro Tika,5,2025-12-06 11:42:22,Dengan adanya aplikasi PLN dapat mempermuah melakukan laporan msalah listrik. petugas nya ramah dan respon nya cepat
Ru Lly,5,2025-12-06 11:40:11,aplikasi nya bagus respon nya cepet
Febrianti Tuzzahra Ramadhani,5,2025-12-06 11:25:43,mempermudah urusan kelistrikan. mantap
Amelia Syantik,5,2025-12-06 11:25:38,Dengan adanya Aplikasi PLN Mobile dapat mempermudah melakukan pengaduan masalah listrik
Ananda Alyn FR,5,2025-12-06 11:23:38,mantap
Dori Saputra,5,2025-12-06 11:18:33,"mempermudah pengaduan maslah listrik dan pembelian token,PLN terbaik👍👍👍"
Ahmad Toha,5,2025-12-06 11:16:13,pelayanan sangat cepat dan tepat
arni cinta,5,2025-12-06 11:12:42,terimakasih
Rahmat Fauzi,5,2025-12-06 11:11:57,"dengan PLN ada nya aplikasi PLN mobile, semua terasa lebih mudah ,baik untuk membeli token dan pengaduan masalah listrik, pokoknya PLN mobile mantap sukses selalu 👍👍"
Andrean,5,2025-12-06 11:11:35,pelayanan cepat dan mudah direspon
Soklin Saputra,5,2025-12-06 11:08:04,"gerak cepat ,langsung selesai"
Octavia Redian,5,2025-12-06 11:07:57,mantaaap maen bola
Windi Anggita,5,2025-12-06 11:07:36,"cepat, tanpa ribet sat set"
Andy Syahputra,5,2025-12-06 10:57:46,sangat praktis dan proses cepat
